step_idx	obs	direct_joint_command
0	[-1.917476083690417e-06, -0.5235974788665771, 0.0, 0.7853943109512329, -7.669904334761668e-06, 1.3089898824691772, -3.834952167380834e-06, 0.45100000500679016, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.020389461889863014, -0.5279127359390259, -0.00956408679485321, 0.7184680104255676, 0.009689291007816792, 1.2464576959609985, -0.08621446043252945, 489.0]
1	[-1.917476083690417e-06, -0.5235974788665771, 0.0, 0.7853348851203918, -7.669904334761668e-06, 1.308930516242981, -6.519418093375862e-05, 0.3499999940395355, -0.10176170617341995, -0.01909453235566616, -0.044342271983623505, -0.2314348816871643, 0.044602006673812866, -0.23030409216880798, -0.2314397245645523, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.020357975736260414, -0.5223618745803833, -0.007942862808704376, 0.7250339984893799, 0.003892142791301012, 1.2381917238235474, -0.09817492961883545, 590.0]
2	[-0.007338180672377348, -0.524957001209259, -0.003514733398333192, 0.7611439824104309, 0.0033843452110886574, 1.2856024503707886, -0.032462868839502335, 0.3190000057220459, -0.08358485996723175, 0.034308042377233505, -0.022482754662632942, -0.2211703211069107, -0.01638692431151867, -0.4285738170146942, -0.5910311937332153, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.023424163460731506, -0.5213664770126343, -0.007706921547651291, 0.7045184969902039, -0.0024679964408278465, 1.2124253511428833, -0.12693484127521515, 621.0]
3	[-0.016379080712795258, -0.5239848494529724, -0.006584612652659416, 0.7340251207351685, 0.004339247941970825, 1.2512143850326538, -0.08126071840524673, 0.23000000417232513, -0.018169786781072617, 0.00591396726667881, 0.0011112043866887689, -0.05905301123857498, -0.038898102939128876, -0.05905301123857498, -0.05905301123857498, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.033423908054828644, -0.5157778263092041, -0.01258433423936367, 0.6799889206886292, 0.005519144237041473, 1.179304599761963, -0.18126071989536285, 710.0]
4	[-0.021147843450307846, -0.5222706198692322, -0.00768907880410552, 0.7189441919326782, 0.001518641016446054, 1.2303982973098755, -0.10683984309434891, 0.18700000643730164, -0.0714147612452507, 0.03663600608706474, -0.029493264853954315, -0.10943284630775452, 0.041882120072841644, -0.20366299152374268, -0.47889524698257446, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.03480137512087822, -0.5103657841682434, -0.009815638884902, 0.6682752370834351, -0.005504276137799025, 1.1546152830123901, -0.20683984458446503, 753.0]
5	[-0.02700573205947876, -0.5192045569419861, -0.009717768058180809, 0.6988030076026917, 0.0018005099846050143, 1.2015690803527832, -0.150976300239563, 0.10000000149011612, -0.034068696200847626, 0.05817435681819916, 0.010830025188624859, -0.1500561237335205, -0.0912269651889801, -0.3198789656162262, -0.3154882788658142, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.03900439292192459, -0.5023452639579773, -0.009630268439650536, 0.6551195383071899, -0.009325032122433186, 1.125658631324768, -0.2509762942790985, 790.0]
6	[-0.032142650336027145, -0.5140024423599243, -0.010369709692895412, 0.6778143644332886, -0.0010987137211486697, 1.1694589853286743, -0.19019444286823273, 0.05900000035762787, -0.02277062088251114, 0.042382340878248215, 0.0021454887464642525, -0.06827070564031601, -0.01958482339978218, -0.025905515998601913, -0.004245057702064514, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.044129934161901474, -0.4937801659107208, -0.011251180432736874, 0.6342544555664062, -0.00408629234880209, 1.0984292030334473, -0.29019445180892944, 790.0]
7	[-0.035814616829156876, -0.5080832242965698, -0.010126190260052681, 0.6645358204841614, -0.0060323793441057205, 1.1481443643569946, -0.2158905416727066, 0.04899999871850014, -0.04980253055691719, 0.08925417810678482, -0.00907234475016594, -0.224207803606987, 0.025058181956410408, -0.37308400869369507, -0.6372756361961365, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.0420677550137043, -0.48836639523506165, -0.00685914047062397, 0.6246824860572815, -0.013952480629086494, 1.0752347707748413, -0.31223124265670776, 790.0]
8	[-0.03998704254627228, -0.5005226135253906, -0.010216312482953072, 0.6479515433311462, -0.006247136741876602, 1.1180475950241089, -0.26322150230407715, 0.05000000074505806, 0.0030868835747241974, 0.06321766972541809, 0.029746582731604576, -0.09962650388479233, -0.07694783806800842, -0.24549460411071777, -0.1860961765050888, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.04861534386873245, -0.48201537132263184, -0.009036177769303322, 0.60530686378479, -0.012985218316316605, 1.0513339042663574, -0.35312196612358093, 790.0]
9	[-0.042008064687252045, -0.49284693598747253, -0.008979540318250656, 0.6319540739059448, -0.009556700475513935, 1.0889288187026978, -0.2976709008216858, 0.05000000074505806, -0.040462713688611984, 0.04784936085343361, -0.008663537912070751, -0.14055794477462769, 0.0007218478131107986, -0.05539710447192192, -0.21768587827682495, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.050385452806949615, -0.4729205369949341, -0.00795460119843483, 0.585888683795929, -0.012722400017082691, 1.0265944004058838, -0.38008663058280945, 790.0]
