step_idx,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,direct_joint_command_0,direct_joint_command_1,direct_joint_command_2,direct_joint_command_3,direct_joint_command_4,direct_joint_command_5,direct_joint_command_6,direct_joint_command_7
0,-3.834952167380834e-06,-0.5236013531684875,-7.669904334761668e-06,0.7853943109512329,-9.58738019107841e-06,1.3089936971664429,-7.669904334761668e-06,0.48399999737739563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.3246251344680786,-0.1501837521791458,-0.09291581809520721,0.7985507249832153,-0.6018979549407959,0.005963687319308519,-0.6019003987312317,-0.7983816862106323,0.01739402860403061,-0.07207624614238739,-0.5105443000793457,-0.07090416550636292,0.6906067132949829,-0.055436521768569946,1.264656662940979,-0.008585835807025433,324.18743896484375
1,-3.834952167380834e-06,-0.5236013531684875,-7.669904334761668e-06,0.7853943109512329,-7.669904334761668e-06,1.3089936971664429,-7.669904334761668e-06,0.30399999022483826,-0.03182145953178406,0.029622236266732216,-0.029845207929611206,-0.03182145953178406,-0.029845207929611206,-0.03182145953178406,-0.02696124278008938,-0.0,0.3246251344680786,-0.1501837521791458,-0.09291581809520721,0.7985507249832153,-0.6018979549407959,0.005963687319308519,-0.6019003987312317,-0.7983816862106323,0.01739402860403061,-0.06177961453795433,-0.5011310577392578,-0.06906484812498093,0.6904317736625671,-0.055826880037784576,1.2540068626403809,-0.006465453188866377,526.260009765625
2,-0.02230599895119667,-0.5193195939064026,-0.022457478567957878,0.7560760974884033,-0.01807412877678871,1.2942464351654053,-0.0029318206943571568,0.40400001406669617,-0.41416725516319275,0.08886920660734177,-0.4059060513973236,-0.54099440574646,-0.2826336622238159,-0.20898984372615814,-0.011559977196156979,-0.0,0.3134090006351471,-0.1208072081208229,-0.09203362464904785,0.7745633125305176,-0.6324881315231323,0.0032356895972043276,-0.6324126124382019,-0.7743673324584961,0.020234936848282814,-0.07985654473304749,-0.4982343316078186,-0.08379016071557999,0.6579394936561584,-0.0651654601097107,1.2493621110916138,-0.005594173911958933,386.7333068847656
3,-0.03880204260349274,-0.5163858532905579,-0.03851442411541939,0.7323511838912964,-0.029728546738624573,1.285268783569336,-0.004241456743329763,0.375,-0.12080440670251846,0.08206784725189209,-0.11254322528839111,-0.17915849387645721,-0.03273847699165344,-0.16943341493606567,0.001935053733177483,-0.0,0.31350165605545044,-0.12090449035167694,-0.09192203730344772,0.7751558423042297,-0.6317649483680725,0.002541409805417061,-0.6316757202148438,-0.7749643325805664,0.020395353436470032,-0.09420067071914673,-0.49315738677978516,-0.1030404269695282,0.6388128995895386,-0.0710500031709671,1.2335026264190674,-0.006871794816106558,421.5763854980469
4,-0.05570076033473015,-0.5122402906417847,-0.05481104925274849,0.7092456221580505,-0.04010592773556709,1.274738073348999,-0.00518293771892786,0.41600000858306885,-0.12774991989135742,0.09012933820486069,-0.12757766246795654,-0.19419293105602264,-0.011668656952679157,-0.14522939920425415,-0.006272538099437952,-0.0,0.31426239013671875,-0.12148791551589966,-0.09110848605632782,0.7734588980674744,-0.6338444352149963,0.0015997156733646989,-0.6337396502494812,-0.7732797265052795,0.020310016348958015,-0.11284556984901428,-0.48873957991600037,-0.11720311641693115,0.6191551685333252,-0.07831880450248718,1.2225151062011719,-0.0077385688200592995,373.5024108886719
5,-0.06447512656450272,-0.5088367462158203,-0.0633188933134079,0.6961818337440491,-0.04440682753920555,1.2670987844467163,-0.005589442327618599,0.42399999499320984,-0.2044457644224167,0.12194644659757614,-0.3404907286167145,-0.5129945278167725,-0.2286672294139862,-0.2081063687801361,-0.011068548075854778,-0.0,0.315319299697876,-0.12254976481199265,-0.08982564508914948,0.7733635902404785,-0.6338956952095032,0.009217340499162674,-0.6339389085769653,-0.7731267213821411,0.019914058968424797,-0.12312909960746765,-0.48226895928382874,-0.12124733626842499,0.6078044176101685,-0.08342767506837845,1.2149714231491089,-0.007736163213849068,362.87896728515625
6,-0.07372120022773743,-0.5043134689331055,-0.07442682981491089,0.6794019937515259,-0.05040469020605087,1.2578661441802979,-0.006001699715852737,0.4580000042915344,-0.41040074825286865,0.1398419737815857,-0.33350953459739685,-0.5947527885437012,-0.21208487451076508,-0.3206138610839844,-0.00918529648333788,-0.0,0.31568649411201477,-0.12281381338834763,-0.08937732875347137,0.7729558944702148,-0.6344160437583923,0.00744726462289691,-0.6343854069709778,-0.772632360458374,0.024379674345254898,-0.13371829688549042,-0.4785793125629425,-0.12757113575935364,0.5951025485992432,-0.088161401450634,1.2062216997146606,-0.007877517491579056,321.37396240234375
7,-0.0867389440536499,-0.4983922839164734,-0.08855287730693817,0.6566818356513977,-0.05894704535603523,1.24636709690094,-0.0064503890462219715,0.4860000014305115,-0.33567577600479126,0.12002167850732803,-0.2710522413253784,-0.3861781060695648,-0.24904708564281464,-0.30164116621017456,-0.007296298630535603,-0.0,0.315075546503067,-0.12236673384904861,-0.09012216329574585,0.7735638618469238,-0.6336641907691956,0.008284301497042179,-0.6337052583694458,-0.7733977437019348,0.01653839647769928,-0.14518645405769348,-0.4767240881919861,-0.13782857358455658,0.5780870318412781,-0.08989761769771576,1.1930220127105713,-0.008179370313882828,284.2498779296875
8,-0.10291668772697449,-0.4919610619544983,-0.10297037661075592,0.6333270072937012,-0.06912501156330109,1.2325669527053833,-0.0068664816208183765,0.5189999938011169,-0.215675950050354,0.08813059329986572,-0.17053382098674774,-0.26993563771247864,-0.08352921903133392,-0.2208603173494339,-0.0060454015620052814,-0.0,0.3144164979457855,-0.12177757918834686,-0.09092798829078674,0.77253258228302,-0.6349347829818726,0.007154237478971481,-0.6349568367004395,-0.7723758816719055,0.01628841646015644,-0.158952534198761,-0.4745660424232483,-0.14893826842308044,0.5630834102630615,-0.0900285616517067,1.178759217262268,-0.00923781469464302,241.40655517578125
9,-0.11667074263095856,-0.4867320954799652,-0.11411283165216446,0.6153352856636047,-0.07701350748538971,1.2206268310546875,-0.007209709845483303,0.5509999990463257,-0.22252941131591797,0.07094469666481018,-0.1702508181333542,-0.3022441864013672,-0.028615912422537804,-0.24863971769809723,-0.013383499346673489,-0.0,0.3148815929889679,-0.12204939126968384,-0.09038996696472168,0.7738400101661682,-0.6333536505699158,0.0058937398716807365,-0.633293092250824,-0.7735439538955688,0.023865049704909325,-0.17026342451572418,-0.47206753492355347,-0.1544724702835083,0.5537049770355225,-0.09050873667001724,1.1671011447906494,-0.009907743893563747,202.11822509765625
